width,num_params,optimizer,steps,lr,lambda,lambda_l1,lambda_entropy,train_loss,test_loss,train_acc,test_acc,loss_plot_path,acc_plot_path,params_path,loss_fn,act_fn
"[784, 40, 40, 10]",33450,LBFGS,1000,0.008,2e-06,1,0,0.051840816,0.06998037,0.992419958114624,0.975600004196167,plots/mlp_loss_2025-01-30_15-14-55.png,plots/mlp_acc_2025-01-30_15-15-03.png,weights/mlp_2025-01-30_15-15-05_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.0001,2e-06,1,0,0.05773553,0.073010996,0.9902999997138977,0.97489994764328,plots/mlp_loss_2025-01-30_15-19-12.png,plots/mlp_acc_2025-01-30_15-19-14.png,weights/mlp_2025-01-30_15-19-16_state,,
"[784, 40, 40, 10]",33450,Adam,1000,0.008,2e-06,1,0,0.044162516,0.067930385,0.9946399927139282,0.9750999808311462,plots/mlp_loss_2025-01-30_15-22-54.png,plots/mlp_acc_2025-01-30_15-23-03.png,weights/mlp_2025-01-30_15-23-13_state,,
"[784, 40, 40, 10]",33450,Adam,3000,0.001,2e-06,1,0,0.041804608,0.06975146,0.9951799511909485,0.9739999771118164,plots/mlp_loss_2025-01-30_15-28-03.png,plots/mlp_acc_2025-01-30_15-28-13.png,weights/mlp_2025-01-30_15-28-16_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.008,2e-06,1,0,0.04563721,0.06845638,0.9936599731445312,0.9750999808311462,plots/mlp_loss_2025-01-30_15-29-56.png,plots/mlp_acc_2025-01-30_15-30-00.png,weights/mlp_2025-01-30_15-30-03_state,,
"[784, 40, 40, 30, 10]",34580,LBFGS,1000,0.008,2e-06,1,0,0.030192912,0.07135494,0.9967599511146545,0.9692999720573425,plots/mlp_loss_2025-01-30_15-32-03.png,plots/mlp_acc_2025-01-30_15-32-07.png,weights/mlp_2025-01-30_15-32-12_state,,
"[784, 40, 40, 30, 10]",34580,Adam,3000,0.002,2e-06,2,0,0.03420984,0.071353026,0.9965199828147888,0.9702999591827393,plots/mlp_loss_2025-01-30_15-34-23.png,plots/mlp_acc_2025-01-30_15-34-28.png,weights/mlp_2025-01-30_15-34-29_state,,
"[784, 126, 126, 10]",116182,Adam,5000,0.002,1e-06,2,1,0.045998845,0.06607147,0.9960799813270569,0.9822999835014343,plots/mlp_loss_2025-01-30_15-39-00.png,plots/mlp_acc_2025-01-30_15-39-03.png,weights/mlp_2025-01-30_15-39-04_state,,
"[784, 40, 30, 20, 15, 10]",33725,Adam,5000,0.002,1e-06,2,1,0.02662686,0.07692157,0.9959399700164795,0.9632999897003174,plots/mlp_loss_2025-01-31_09-09-26.png,plots/mlp_acc_2025-01-31_09-09-34.png,weights/mlp_2025-01-31_09-09-36_state,,
"[784, 64, 32, 16, 10]",53018,Adam,5000,0.002,1e-06,2,1,0.028194973,0.07554055,0.9970199465751648,0.9645999670028687,plots/mlp_loss_2025-01-31_09-11-07.png,plots/mlp_acc_2025-01-31_09-11-11.png,weights/mlp_2025-01-31_09-11-13_state,,
"[784, 64, 32, 16, 10]",53018,Adam,5000,0.002,1e-06,2,1,0.041795358,0.07697095,0.9923399686813354,0.963699996471405,plots/mlp_loss_2025-01-31_09-14-18.png,plots/mlp_acc_2025-01-31_09-14-32.png,weights/mlp_2025-01-31_09-14-33_state,,
"[784, 64, 32, 16, 10]",53018,Adam,5000,0.0002,1e-06,2,1,0.0442203,0.07286356,0.9960999488830566,0.9734999537467957,plots/mlp_loss_2025-01-31_09-15-35.png,plots/mlp_acc_2025-01-31_09-15-40.png,weights/mlp_2025-01-31_09-15-43_state,,
"[784, 64, 32, 16, 10]",53018,Adam,5000,0.0009,1e-06,2,1,0.022151837,0.07144071,0.9982799887657166,0.9688999652862549,plots/mlp_loss_2025-01-31_09-16-51.png,plots/mlp_acc_2025-01-31_09-17-01.png,weights/mlp_2025-01-31_09-17-03_state,,
"[784, 64, 32, 16, 10]",53018,Adam,5000,0.0009,2e-06,2,1,0.029100318,0.073214285,0.9974199533462524,0.9680999517440796,plots/mlp_loss_2025-01-31_09-18-13.png,plots/mlp_acc_2025-01-31_09-18-26.png,weights/mlp_2025-01-31_09-18-28_state,,
"[784, 64, 32, 16, 10]",53018,Adam,5000,0.0002,2e-06,2,1,0.04895614,0.071942784,0.994979977607727,0.976099967956543,plots/mlp_loss_2025-01-31_09-19-53.png,plots/mlp_acc_2025-01-31_09-20-01.png,weights/mlp_2025-01-31_09-20-02_state,,
"[784, 64, 32, 16, 10]",53018,Adam,6000,0.0002,2e-06,2,1,0.043104768,0.069876716,0.9966599941253662,0.9759999513626099,plots/mlp_loss_2025-01-31_09-21-16.png,plots/mlp_acc_2025-01-31_09-21-19.png,weights/mlp_2025-01-31_09-21-21_state,,
"[784, 64, 32, 16, 10]",53018,Adam,7000,0.00015,2e-06,2,1,0.044199478,0.071071364,0.9961400032043457,0.975600004196167,plots/mlp_loss_2025-01-31_09-23-14.png,plots/mlp_acc_2025-01-31_09-28-07.png,weights/mlp_2025-01-31_09-28-08_state,,
"[784, 64, 32, 16, 10]",53018,Adam,10000,0.00015,2.3e-06,2,1,0.033779003,0.068408035,0.9979999661445618,0.9753999710083008,plots/mlp_loss_2025-01-31_09-30-06.png,plots/mlp_acc_2025-01-31_09-30-08.png,weights/mlp_2025-01-31_09-30-10_state,,
"[784, 64, 32, 16, 10]",53018,Adam,10000,0.0002,2.3e-06,2,1,0.030893765,0.06898728,0.998039960861206,0.9750999808311462,plots/mlp_loss_2025-01-31_09-32-40.png,plots/mlp_acc_2025-01-31_09-32-46.png,weights/mlp_2025-01-31_09-32-47_state,,
"[784, 64, 32, 16, 10]",53018,Adam,10000,0.0002,2.3e-06,2,1,0.042369626,0.0668365,0.9957399964332581,0.9735999703407288,plots/mlp_loss_2025-01-31_09-34-55.png,plots/mlp_acc_2025-01-31_09-34-59.png,weights/mlp_2025-01-31_09-34-59_state,,
"[784, 64, 32, 16, 10]",53018,Adam,10000,0.0002,2.3e-06,2,1,0.029820766,0.0683965,0.9984999895095825,0.974399983882904,plots/mlp_loss_2025-01-31_09-40-35.png,plots/mlp_acc_2025-01-31_09-40-38.png,weights/mlp_2025-01-31_09-40-39_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,1e-06,2,1,0.029328069,0.069745064,0.9972800016403198,0.9750999808311462,plots/mlp_loss_2025-01-31_09-43-08.png,plots/mlp_acc_2025-01-31_09-43-13.png,weights/mlp_2025-01-31_09-43-15_state,,
