width,num_params,optimizer,steps,grid,k,lr,lambda,lambda_l1,lambda_entropy,train_loss,test_loss,train_acc,test_acc,loss_plot_path,acc_plot_path,params_path,loss_fn
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.17440583575554977,4.931181616145935e-07,3,3,0.26373821,0.51509875,0.9834833145141602,0.9340999722480774,plots/kan_loss_2025-02-06_19-21-15.png,plots/kan_acc_2025-02-06_19-21-15.png,weights/kan_2025-02-06_19-21-15_state,CrossEntropy
"[[784, 0], [32, 0], [10, 0]]",238464,Adam,3000,5,3,0.0005209607811627912,0.00039506585754371226,2,1,0.25095984,0.49083802,0.9966000318527222,0.933899998664856,plots/kan_loss_2025-02-04_17-29-30.png,plots/kan_acc_2025-02-04_17-29-30.png,weights/kan_2025-02-04_17-29-30_state,
"[[784, 0], [64, 0], [32, 0], [10, 0]]",430912,Adam,200,5,3,0.001,1e-05,1,1,0.40124092,0.527892,0.9629666805267334,0.933899998664856,plots/kan_loss_2025-02-07_14-39-17.png,plots/kan_acc_2025-02-07_14-39-21.png,weights/kan_2025-02-07_14-39-23_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.5664591932528535,3.211104649318433e-07,1,4,0.3865516,0.47999817,0.9558333158493042,0.9333999752998352,plots/kan_loss_2025-02-06_20-35-05.png,plots/kan_acc_2025-02-06_20-35-05.png,weights/kan_2025-02-06_20-35-05_state,CrossEntropy
"[[784, 0], [10, 0]]",79968,Adam,1000,5,3,0.001,1.8e-05,1,2,0.39157975,0.48452073,0.9594333171844482,0.9332999587059021,plots/kan_loss_2025-02-05_16-36-35.png,plots/kan_acc_2025-02-05_16-36-41.png,weights/kan_2025-02-05_16-36-46_state,
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.2704472240904597,5.818900248449764e-07,1,0,0.29470313,0.53182924,0.9778666496276855,0.9320999979972839,plots/kan_loss_2025-02-06_20-13-20.png,plots/kan_acc_2025-02-06_20-13-21.png,weights/kan_2025-02-06_20-13-21_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.13899815120334016,8.997261693495638e-07,0,0,0.20490347,0.56326455,0.9919666647911072,0.9311999678611755,plots/kan_loss_2025-02-06_19-55-59.png,plots/kan_acc_2025-02-06_19-55-59.png,weights/kan_2025-02-06_19-55-59_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.26378216833686263,1.2266919209051644e-06,4,4,0.30874726,0.5017578,0.9748833179473877,0.9309999942779541,plots/kan_loss_2025-02-06_18-20-28.png,plots/kan_acc_2025-02-06_18-20-29.png,weights/kan_2025-02-06_18-20-29_state,CrossEntropy
"[[784, 0], [20, 0], [20, 0], [10, 0]]",270568,Adam,100,5,3,0.005,1.8e-05,1,1,0.12908217,0.12404164,0.9313199520111084,0.9304999709129333,plots/kan_loss_2025-01-29_17-40-23.png,plots/kan_acc_2025-01-29_17-40-25.png,weights/kan_2025-01-29_17-40-26_state,
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.049897254976449916,7.456279254056834e-07,3,3,0.301935,0.5133282,0.9770166873931885,0.9298999905586243,plots/kan_loss_2025-02-06_18-11-48.png,plots/kan_acc_2025-02-06_18-11-48.png,weights/kan_2025-02-06_18-11-48_state,CrossEntropy
